"distA";"distB";"distC";"distD";"distE";"distF";"distG";"temA";"temB";"temC";"temD";"temE";"temF";"temG";"dist";"tem"
"1";17.2655;14.605;18.9582;15.5084;15.3184;16.4039;18.6525;18.545;15.2883333333333;21.8566666666667;17.0783333333333;16.825;17.9916666666667;21.4333333333333;"B";"B"
"2";18.477;15.8165;20.1697;16.7199;16.5299;17.6154;19.864;20.2433333333333;16.9866666666667;23.555;18.7766666666667;18.5233333333333;19.69;23.1316666666667;"B";"B"
"3";13.9707;14.6665;17.4828;15.57;15.3799;16.4654;18.714;21.415;20.5;26.5883333333333;22.29;22.0366666666667;23.2033333333333;26.645;"A";"B"
"4";6.8248;4.1643;8.5175;5.2415;5.0514;6.8256;9.0742;9.705;6.44833333333333;13.0166666666667;8.63666666666667;8.38333333333333;10.2633333333333;13.705;"B";"B"
"5";2.0918;3.5866;5.6039;6.1223;6.0186;7.6726;9.9576;2.89;5.13333333333333;8.06333333333333;9.6;9.02833333333333;12.2583333333333;13.7116666666667;"A";"A"
"6";2.0089;3.5037;5.521;6.0394;5.9357;7.5897;9.8747;2.59166666666667;4.835;7.765;9.30166666666667;8.73;11.96;13.4133333333333;"A";"A"
"7";2.5647;2.9264;6.0768;5.4621;5.3975;7.0124;10.4305;3.41;4.30833333333333;8.58333333333333;8.775;8.345;11.4333333333333;14.2316666666667;"A";"A"
"8";10.3339;7.6734;9.552;6.0272;5.8372;6.0344;8.2652;14.5866666666667;11.33;14.5383333333333;9.62833333333333;9.375;9.48;12.9816666666667;"E";"E"
"9";3.2138;1.3793;6.2997;3.0524;2.8623;4.6077;6.9849;5.835;2.36833333333333;9.43;5.05666666666667;4.80333333333333;7.72833333333333;10.7166666666667;"B";"B"
"10";8.6587;6.0544;9.1926;5.6678;5.4778;5.675;7.9057;14.1733333333333;11.0133333333333;14.065;9.155;8.90166666666667;9.00666666666667;12.5083333333333;"E";"E"
"11";8.7755;6.1712;9.3094;5.7847;5.5946;5.7918;8.0226;14.4183333333333;11.2583333333333;14.31;9.4;9.14666666666667;9.25166666666667;12.7533333333333;"E";"E"
